gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
922490995	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus		SPECIES	Oxyuranus scutellatus Peters, 1867	Oxyuranus scutellatus		AU	Iron Range National Park		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	-12.712688	143.300171	250.0						2010-10-08T00:00:00	8	10	2010	9043837	9043837	HUMAN_OBSERVATION	naturgucker	naturgucker	-1374275933				CC_BY_4_0		881932368			2023-10-21T16:07:04.764Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
543488091	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:142246	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus	canni	SUBSPECIES	Oxyuranus scutellatus canni Slater, 1956	Oxyuranus scutellatus canni		PG	Wipim		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.7857868	142.8764276	6352.0						1969-08-15T00:00:00	15	8	1969	6157676	9043837	PRESERVED_SPECIMEN	CAS	HERP	142246	R-129175	F. Parker		CC0_1_0		F. Parker			2023-11-06T00:10:07.681Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543485103	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:139558	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus		SPECIES	Oxyuranus scutellatus Peters, 1867	Oxyuranus scutellatus		PG	Derongo		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-5.4119037	141.1148062	2102.0						1969-04-01T00:00:00		4	1969	9043837	9043837	PRESERVED_SPECIMEN	CAS	HERP	139558	MCZ-129210			CC0_1_0		F. Parker			2023-11-06T00:10:07.212Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543478701	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:133796	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus	canni	SUBSPECIES	Oxyuranus scutellatus canni Slater, 1956	Oxyuranus scutellatus canni		PG	Obo, Fly River		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-7.5892375	141.3197194	1102.0						1969-11-15T00:00:00	15	11	1969	6157676	9043837	PRESERVED_SPECIMEN	CAS	HERP	133796	MCZ-31747			CC0_1_0		F. Parker			2023-11-06T00:10:06.407Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543476939	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:132209	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus	canni	SUBSPECIES	Oxyuranus scutellatus canni Slater, 1956	Oxyuranus scutellatus canni		PG	Wipim		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.7857868	142.8764276	6352.0						1969-05-13T00:00:00	13	5	1969	6157676	9043837	PRESERVED_SPECIMEN	CAS	HERP	132209	MCZ-Y-31009			CC0_1_0		F. Parker			2023-11-06T00:10:06.230Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543444919	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:103391	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus		SPECIES	Oxyuranus scutellatus Peters, 1867	Oxyuranus scutellatus		AU	Cairns	Queensland	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-16.9233	145.774	5441.2						1966-03-01T00:00:00		3	1966	9043837	9043837	PRESERVED_SPECIMEN	CAS	HERP	103391				CC0_1_0		E. Morris			2023-11-06T00:10:00.096Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
543441231	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:100071	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus	canni	SUBSPECIES	Oxyuranus scutellatus canni Slater, 1956	Oxyuranus scutellatus canni		PG	Epo		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.63331	146.583323	1002.0						1958-01-01T00:00:00			1958	6157676	9043837	PRESERVED_SPECIMEN	CAS	HERP	100071	118			CC0_1_0		K.R. Slater			2023-11-06T00:09:58.755Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
500806964	fa375330-6c8a-11de-8226-b8a03c50a862	de9edc90-a33d-4c21-a93c-a06b0d24ba43	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus		SPECIES	Oxyuranus scutellatus Peters, 1867	Oxyuranus scutellatus	(Peters, 1867)	AU		Queensland	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-16.92	145.77	5000.0	0.01					1953-05-29T00:00:00	29	5	1953	9043837	9043837	PRESERVED_SPECIMEN	SAMA	Herpetology	R6754				CC_BY_4_0		Data, N.O.			2023-09-07T11:26:04.318Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500795516	fa375330-6c8a-11de-8226-b8a03c50a862	b9426aca-b481-468b-92d9-39d2cce5fc66	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus		SPECIES	Oxyuranus scutellatus Peters, 1867	Oxyuranus scutellatus	(Peters, 1867)	AU		Queensland	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-23.8	150.9667		1.0E-4					2001-01-01T00:00:00			2001	9043837	9043837	PRESERVED_SPECIMEN	SAMA	Herpetology	R55909				CC_BY_4_0		Tremul, Peter			2023-09-07T11:26:04.439Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500761147	fa375330-6c8a-11de-8226-b8a03c50a862	5521e01f-1e32-4f35-b61c-19cfd3a3b924	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus scutellatus		SPECIES	Oxyuranus scutellatus Peters, 1867	Oxyuranus scutellatus	(Peters, 1867)	AU		Queensland	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-21.15	148.63		0.01					1958-09-20T00:00:00	20	9	1958	9043837	9043837	PRESERVED_SPECIMEN	SAMA	Herpetology	R4046				CC_BY_4_0		Brittain, G			2023-09-07T11:26:02.107Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
