gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
543544361	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:192890	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Amron Village (W of Baitabag Mission)	Madang Dist.	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-5.109187	145.7629943	1102.0						1991-10-06T00:00:00	6	10	1991	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	192890	RNF-330	R.N. Fisher	1993-08-17T00:00:00	CC0_1_0		R.N. Fisher			2023-11-06T00:10:17.745Z		COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543470860	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:126739	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Oriomo River, Abam		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.9266367	143.1912053	602.0						1969-07-26T00:00:00	26	7	1969	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	126739	MCZ-31211			CC0_1_0		F. Parker			2023-11-06T00:10:05.340Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543470859	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:126738	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Lake Murray, Maka		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-7.019058	141.471139							1969-10-05T00:00:00	5	10	1969	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	126738	MCZ-31344			CC0_1_0		F. Parker			2023-11-06T00:10:05.283Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
543470857	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:126736	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Wipim		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.7857868	142.8764276	6352.0						1969-03-10T00:00:00	10	3	1969	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	126736	MCZ-31426			CC0_1_0		F. Parker			2023-11-06T00:10:05.279Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543470856	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:126735	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Wipim		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.7857868	142.8764276	6352.0						1969-06-27T00:00:00	27	6	1969	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	126735	MCZ-31130			CC0_1_0		F. Parker			2023-11-06T00:10:05.278Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543470855	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:126734	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Wipim		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.7857868	142.8764276	6352.0						1969-04-02T00:00:00	2	4	1969	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	126734	MCZ-30849			CC0_1_0		F. Parker			2023-11-06T00:10:05.343Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543470854	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:126733	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Oriomo River, Abam		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.9266367	143.1912053	602.0						1969-03-21T00:00:00	21	3	1969	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	126733	MCZ-31474			CC0_1_0		F. Parker			2023-11-06T00:10:05.281Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
543465658	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:122056	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Wipim		PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	-8.7857868	142.8764276	6352.0						1968-12-17T00:00:00	17	12	1968	2462515	2462515	PRESERVED_SPECIMEN	CAS	HERP	122056	MCZ-Y-10936			CC0_1_0		F. Parker			2023-11-06T00:10:02.814Z	StillImage	COORDINATE_ROUNDED;COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES
476797699	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-65221	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Konedobu		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-9.08333	149.28333	301.0	1.0E-5					1956-06-18T00:00:00	18	6	1956	2462515	2462515	PRESERVED_SPECIMEN	MCZ	Herp	R-65221		José Rosado	2017-07-20T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	K. R. Slater			2023-11-09T13:07:13.078Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
476795288	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-124462	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua gigas		SPECIES	Tiliqua gigas (Schneider, 1801)	Tiliqua gigas		PG	Wipim	Western Province	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-8.7857888	142.8764226	6352.0	1.0E-5					1969-10-27T00:00:00	27	10	1969	2462515	2462515	PRESERVED_SPECIMEN	MCZ	Herp	R-124462	31665	Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Fred S. Parker			2023-11-09T13:08:51.159Z		COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
